fecha,marca,zona,tipo_cristal,precio_ipc
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,83061.39361652585
2024-10-01,VOLKSWAGEN,CABA,Aleta/Ventilete,52046.281274080604
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,49072.20805841885
2024-10-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,46098.134842779175
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,89222.19646985245
2025-01-01,CHEVROLET,CABA,Aleta/Ventilete,50020.71927202797
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,47162.39245648353
2025-01-01,CHEVROLET,Rosario,Aleta/Ventilete,44304.06563271914
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,85749.80446633369
2025-01-01,FIAT,CABA,Aleta/Ventilete,44833.0972784846
2025-01-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,42271.20600542834
2025-01-01,FIAT,Rosario,Aleta/Ventilete,39709.31472500463
2025-01-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,76856.73819168788
2025-01-01,FORD,CABA,Aleta/Ventilete,53677.68740448432
2025-01-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,50610.39098137093
2025-01-01,FORD,Rosario,Aleta/Ventilete,47543.09454943666
2025-01-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,92018.89269340169
2025-01-01,PEUGEOT,CABA,Aleta/Ventilete,151586.13092774732
2025-01-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,150816.07027432817
2025-01-01,PEUGEOT,Rosario,Aleta/Ventilete,150046.00959307037
2025-01-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,161211.88909548643
2025-01-01,RENAULT,CABA,Aleta/Ventilete,52893.271792772815
2025-01-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,49870.79911890008
2025-01-01,RENAULT,Rosario,Aleta/Ventilete,46848.326436335374
2025-01-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,90674.18021618195
2025-01-01,TOYOTA,CABA,Aleta/Ventilete,45062.760989090064
2025-01-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,42487.74607542778
2025-01-01,TOYOTA,Rosario,Aleta/Ventilete,39912.7311543603
2025-01-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,77250.44740986868
2025-01-01,VOLKSWAGEN,CABA,Aleta/Ventilete,48405.141539097174
2025-01-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,45639.133451148766
2025-01-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,42873.12535524592
2025-01-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,82980.2426384523
2025-04-01,CHEVROLET,CABA,Aleta/Ventilete,45570.52832171634
2025-04-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,42966.49813190397
2025-04-01,CHEVROLET,Rosario,Aleta/Ventilete,40362.46794209161
2025-04-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78120.90569437086
2025-04-01,FIAT,CABA,Aleta/Ventilete,42035.089629313945
