fecha,marca,zona,tipo_cristal,precio_ipc,instalacion_ipc
2024-02-01,RENAULT,CORD_TUC_STAFE,Aleta/Ventilete,75000.69538321496,38479.80384494274
2024-02-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,173207.68012019826,38479.80384494274
2024-02-01,RENAULT,CORD_TUC_STAFE,Luneta,182418.68077283862,57481.720680135324
2024-02-01,RENAULT,CORD_TUC_STAFE,Parabrisas,284531.6693176927,86272.39584294312
2024-02-01,RENAULT,CORD_TUC_STAFE,Puerta,85841.0248372405,25653.077236983
2024-02-01,RENAULT,Rosario,Aleta/Ventilete,70455.19869332312,38479.80384494274
2024-02-01,RENAULT,Rosario,Custodia/Coleta,162710.24496139836,38479.80384494274
2024-02-01,RENAULT,Rosario,Luneta,171363.00315024235,57481.720680135324
2024-02-01,RENAULT,Rosario,Parabrisas,267287.325722681,86272.39584294312
2024-02-01,RENAULT,Rosario,Puerta,80638.53848346834,25653.077236983
2024-02-01,RENAULT,TIERRA DEL FUEGO,Aleta/Ventilete,136364.90069675446,69034.70529619018
2024-02-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,314923.05476399686,69034.70529619018
2024-02-01,RENAULT,TIERRA DEL FUEGO,Luneta,331670.32867788844,103125.10071676451
2024-02-01,RENAULT,TIERRA DEL FUEGO,Parabrisas,517330.3078503504,154777.02137498264
2024-02-01,RENAULT,TIERRA DEL FUEGO,Puerta,156074.59061316453,46022.91202241344
2024-02-01,TOYOTA,CABA,Aleta/Ventilete,72766.65404027041,35221.78841642356
2024-02-01,TOYOTA,CABA,Custodia/Coleta,245562.34467803704,35221.78841642355
2024-02-01,TOYOTA,CABA,Luneta,354901.9839078277,57572.5259858058
2024-02-01,TOYOTA,CABA,Parabrisas,416421.38897028705,80035.33204090316
2024-02-01,TOYOTA,CABA,Puerta,121288.23736268858,23481.07756245583
2024-02-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,68608.55952368355,38479.80384494274
2024-02-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,231530.2106964349,38479.80384494274
2024-02-01,TOYOTA,CORD_TUC_STAFE,Luneta,334621.8705416662,62897.98463949285
2024-02-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,392625.88102912786,87438.6002546867
2024-02-01,TOYOTA,CORD_TUC_STAFE,Puerta,114357.48094196354,25653.077236983
2024-02-01,TOYOTA,Rosario,Aleta/Ventilete,64450.46500709667,38479.80384494274
2024-02-01,TOYOTA,Rosario,Custodia/Coleta,217498.07671483283,38479.80384494274
2024-02-01,TOYOTA,Rosario,Luneta,314341.7571755046,62897.98463949285
2024-02-01,TOYOTA,Rosario,Parabrisas,368830.3730879686,87438.6002546867
2024-02-01,TOYOTA,Rosario,Puerta,107426.72452123846,25653.077236983
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,124742.83549760644,69034.70529619018
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,420964.0194480635,69034.70529619018
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Luneta,608403.4009848476,112842.1509321794
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Parabrisas,713865.2382347779,156869.2508001702
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Puerta,207922.69262175186,46022.91202241344
2024-02-01,VOLKSWAGEN,CABA,Aleta/Ventilete,74379.90443381005,35221.78841642356
