fecha,marca,zona,tipo_cristal,precio,instalacion
2024-10-01,CHEVROLET,CABA,Aleta/Ventilete,45817.283184850014,26566.34717559879
2024-10-01,CHEVROLET,CABA,Custodia/Coleta,118227.6273373168,26566.34717559879
2024-10-01,CHEVROLET,CABA,Luneta,130446.25727396525,41744.666077395654
2024-10-01,CHEVROLET,CABA,Parabrisas,198575.09786923646,57906.424019939375
2024-10-01,CHEVROLET,CABA,Puerta,61454.38515393618,18998.87061701889
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,43199.15271714431,29023.73428934168
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,111471.76291804152,29023.73428934168
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Luneta,122992.18542973867,45606.047689554754
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,187227.94941956582,63262.76824178377
2024-10-01,CHEVROLET,CORD_TUC_STAFE,Puerta,57942.706002282684,20756.26614909313
2024-10-01,CHEVROLET,Rosario,Aleta/Ventilete,40581.02224943859,29023.73428934168
2024-10-01,CHEVROLET,Rosario,Custodia/Coleta,104715.8984987663,29023.73428934168
2024-10-01,CHEVROLET,Rosario,Luneta,115538.11358551207,45606.047689554754
2024-10-01,CHEVROLET,Rosario,Parabrisas,175880.80096989518,63262.76824178377
2024-10-01,CHEVROLET,Rosario,Puerta,54431.02685062919,20756.26614909313
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78543.91403117147,52070.04046417362
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,202675.93257825734,52070.04046417362
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,223622.15532679757,81819.54551169547
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,340414.4534901196,113496.5910790812
2024-10-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,105350.37454960488,37237.78640935702
2024-10-01,FIAT,CABA,Aleta/Ventilete,36203.212459817325,26566.34717559879
2024-10-01,FIAT,CABA,Custodia/Coleta,89544.50551273175,26566.347175598785
2024-10-01,FIAT,CABA,Luneta,130710.0103568723,38694.54875194603
2024-10-01,FIAT,CABA,Parabrisas,211133.516280596,58595.65144144698
2024-10-01,FIAT,CABA,Puerta,51244.86523029202,18998.87061701889
2024-10-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,34134.45746211349,29023.73428934168
2024-10-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,84427.67662628993,29023.73428934168
2024-10-01,FIAT,CORD_TUC_STAFE,Luneta,123240.86690790819,42273.794511501044
2024-10-01,FIAT,CORD_TUC_STAFE,Parabrisas,199068.7439217048,64015.74919978082
2024-10-01,FIAT,CORD_TUC_STAFE,Puerta,48316.58721713248,20756.26614909313
2024-10-01,FIAT,Rosario,Aleta/Ventilete,32065.70246440964,29023.73428934168
2024-10-01,FIAT,Rosario,Custodia/Coleta,79310.8477398481,29023.73428934168
2024-10-01,FIAT,Rosario,Luneta,115771.72345894403,42273.794511501044
2024-10-01,FIAT,Rosario,Parabrisas,187003.9715628136,64015.74919978082
2024-10-01,FIAT,Rosario,Puerta,45388.30920397293,20756.26614909313
2024-10-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,62062.649931115426,52070.040464173624
2024-10-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,153504.8665932544,52070.04046417362
2024-10-01,FIAT,TIERRA DEL FUEGO,Luneta,224074.30346892396,75841.31555381422
2024-10-01,FIAT,TIERRA DEL FUEGO,Parabrisas,361943.170766736,114847.47682523608
2024-10-01,FIAT,TIERRA DEL FUEGO,Puerta,87848.34039478633,37237.78640935702
2024-10-01,FORD,CABA,Aleta/Ventilete,46498.55305852915,26566.34717559879
2024-10-01,FORD,CABA,Custodia/Coleta,51380.391336469074,26566.34717559879
2024-10-01,FORD,CABA,Luneta,142320.74936496426,40667.11496346056
2024-10-01,FORD,CABA,Parabrisas,237334.7133310654,57941.40085415465
2024-10-01,FORD,CABA,Puerta,60752.371124713194,18998.87061701889
2024-10-01,FORD,CORD_TUC_STAFE,Aleta/Ventilete,43841.49288375606,29023.73428934168
2024-10-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,48444.368974385136,29023.73428934168
2024-10-01,FORD,CORD_TUC_STAFE,Luneta,134188.13511553773,44428.82309758067
2024-10-01,FORD,CORD_TUC_STAFE,Parabrisas,223772.7297121474,63300.98043316396
2024-10-01,FORD,CORD_TUC_STAFE,Puerta,57280.807060443876,20756.26614909313
2024-10-01,FORD,Rosario,Aleta/Ventilete,41184.43270898297,29023.73428934168
2024-10-01,FORD,Rosario,Custodia/Coleta,45508.34661230118,29023.73428934168
2024-10-01,FORD,Rosario,Luneta,126055.5208661112,44428.82309758067
2024-10-01,FORD,Rosario,Parabrisas,210210.74609322933,63300.98043316396
2024-10-01,FORD,Rosario,Puerta,53809.242996174544,20756.26614909313
2024-10-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,79711.80524319284,52070.04046417362
2024-10-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,88080.67086251843,52070.04046417362
2024-10-01,FORD,TIERRA DEL FUEGO,Luneta,243978.42748279587,79707.54532838271
2024-10-01,FORD,TIERRA DEL FUEGO,Parabrisas,406859.5085675407,113565.14567414313
2024-10-01,FORD,TIERRA DEL FUEGO,Puerta,104146.92192807977,37237.78640935702
2024-10-01,PEUGEOT,CABA,Aleta/Ventilete,138847.75726318278,26566.34717559879
