fecha,marca,zona,tipo_cristal,instalacion_ipc
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,CHEVROLET,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-03-01,FIAT,CABA,Custodia/Coleta,32594.58181019456
2024-03-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,FIAT,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-03-01,FORD,CABA,Custodia/Coleta,32594.581810194562
2024-03-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,FORD,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-03-01,PEUGEOT,CABA,Custodia/Coleta,32594.581810194562
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,PEUGEOT,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-03-01,RENAULT,CABA,Custodia/Coleta,32594.58181019456
2024-03-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,RENAULT,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-03-01,TOYOTA,CABA,Custodia/Coleta,32594.58181019456
2024-03-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,TOYOTA,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,63885.38034798133
2024-03-01,VOLKSWAGEN,CABA,Custodia/Coleta,32594.58181019456
2024-03-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,35609.58062763755
2024-03-01,VOLKSWAGEN,Rosario,Custodia/Coleta,35609.58062071032
2024-03-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,63885.380347981336
2024-05-01,CHEVROLET,CABA,Custodia/Coleta,31336.217452631456
2024-05-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,CHEVROLET,Rosario,Custodia/Coleta,34234.81757035442
2024-05-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,61418.986207157664
2024-05-01,FIAT,CABA,Custodia/Coleta,31336.217452631456
2024-05-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,FIAT,Rosario,Custodia/Coleta,34234.81757035442
2024-05-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,61418.986207157664
2024-05-01,FORD,CABA,Custodia/Coleta,31336.217452631456
2024-05-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,FORD,Rosario,Custodia/Coleta,34234.81757035442
2024-05-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,61418.986207157664
2024-05-01,PEUGEOT,CABA,Custodia/Coleta,31336.217452631456
2024-05-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,PEUGEOT,Rosario,Custodia/Coleta,34234.81757035442
2024-05-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,61418.986207157664
2024-05-01,RENAULT,CABA,Custodia/Coleta,31336.217452631456
2024-05-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,RENAULT,Rosario,Custodia/Coleta,34234.81757035442
2024-05-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,61418.98620715766
2024-05-01,TOYOTA,CABA,Custodia/Coleta,31336.217452631452
2024-05-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,34234.81756699988
2024-05-01,TOYOTA,Rosario,Custodia/Coleta,34234.81757035441
2024-05-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,61418.98620715766
2024-05-01,VOLKSWAGEN,CABA,Custodia/Coleta,31336.217452631456
