fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,var_precio_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom,var_instal_prom_%
2024-03-01,CITROEN,CABA,Aleta/Ventilete,76726,131669,76,20337,34901,20,1.72,0.05000547405298894,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,CITROEN,CABA,Aleta/Ventilete,80562,121940,71,22168,33554,19,1.51,0.04999608998253535,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,CITROEN,CABA,Aleta/Ventilete,82979,115448,58,23719,33001,16,1.39,0.030001737792011207,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,CITROEN,CABA,Aleta/Ventilete,82979,104301,69,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,CITROEN,CABA,Aleta/Ventilete,82979,97004,68,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,CITROEN,CABA,Aleta/Ventilete,85469,91518,67,28957,31006,22,1.07,0.03000759228238481,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,CITROEN,CABA,Aleta/Ventilete,85469,85469,64,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,DAEWOO,CABA,Aleta/Ventilete,20298,52815,21,16962,44135,17,2.6,,,-,-,,-
2024-02-01,DAEWOO,CABA,Aleta/Ventilete,21313,40602,19,18488,35221,17,1.91,0.050004926593752996,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,DAEWOO,CABA,Aleta/Ventilete,22378,38404,22,20337,34901,20,1.72,0.04996950218176699,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,DAEWOO,CABA,Aleta/Ventilete,23497,35566,20,22168,33554,19,1.51,0.050004468674591074,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,DAEWOO,CABA,Aleta/Ventilete,24202,33673,17,23719,33001,16,1.39,0.030003830276205568,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,DAEWOO,CABA,Aleta/Ventilete,24202,30421,20,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,DAEWOO,CABA,Aleta/Ventilete,24202,28293,19,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,DAEWOO,CABA,Aleta/Ventilete,24928,26693,19,28957,31006,22,1.07,0.029997520866044125,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,DAEWOO,CABA,Aleta/Ventilete,24928,24928,18,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,175519,456694,181,16962,44135,17,2.6,,,-,-,,-
2024-02-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,184295,351086,170,18488,35221,17,1.91,0.0500002848694443,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,193509,332080,193,20337,34901,20,1.72,0.049995930437613634,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,203185,307543,181,22168,33554,19,1.51,0.05000284224506357,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
2024-07-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,209280,291168,147,23719,33001,16,1.39,0.02999729310726673,-0.07947019867549676,-7.95%,3.0%,0.06996571634788884,7.0%
2024-10-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,209280,263054,174,26566,33392,22,1.26,0.0,-0.09352517985611508,-9.35%,0.0%,0.1200303554112736,12.0%
2025-01-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,209280,244651,171,26566,31056,21,1.17,0.0,-0.07142857142857151,-7.14%,0.0%,0.0,0.0%
2025-04-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,215559,230815,170,28957,31006,22,1.07,0.030002866972477005,-0.08547008547008539,-8.55%,3.0%,0.09000225852593546,9.0%
2025-08-01,DODGE/CHRYSLER,CABA,Aleta/Ventilete,215559,215559,162,28957,28957,21,1.0,0.0,-0.06542056074766356,-6.54%,0.0%,0.0,0.0%
2023-12-01,FIAT,CABA,Aleta/Ventilete,30109,78344,31,16962,44135,17,2.6,,,-,-,,-
2024-02-01,FIAT,CABA,Aleta/Ventilete,31615,60227,29,18488,35221,17,1.91,0.05001826696336642,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,FIAT,CABA,Aleta/Ventilete,33196,56967,33,20337,34901,20,1.72,0.05000790763877916,-0.09947643979057585,-9.95%,5.0%,0.1000108178277801,10.0%
2024-05-01,FIAT,CABA,Aleta/Ventilete,35087,53108,31,22168,33554,19,1.51,0.056964694541510985,-0.12209302325581395,-12.21%,5.7%,0.09003294487879243,9.0%
2024-07-01,FIAT,CABA,Aleta/Ventilete,36556,50860,25,23719,33001,16,1.39,0.041867358280844647,-0.07947019867549676,-7.95%,4.19%,0.06996571634788884,7.0%
2024-10-01,FIAT,CABA,Aleta/Ventilete,36203,45505,30,26566,33392,22,1.26,-0.009656417551154428,-0.09352517985611508,-9.35%,-0.97%,0.1200303554112736,12.0%
2025-01-01,FIAT,CABA,Aleta/Ventilete,41065,48006,33,26566,31056,21,1.17,0.13429826257492472,-0.07142857142857151,-7.14%,13.43%,0.0,0.0%
2025-04-01,FIAT,CABA,Aleta/Ventilete,42035,45010,33,28957,31006,22,1.07,0.023621088518202882,-0.08547008547008539,-8.55%,2.36%,0.09000225852593546,9.0%
2025-08-01,FIAT,CABA,Aleta/Ventilete,41792,41792,31,28957,28957,21,1.0,-0.005780896871654617,-0.06542056074766356,-6.54%,-0.58%,0.0,0.0%
2023-12-01,FORD,CABA,Aleta/Ventilete,36619,95281,37,16962,44135,17,2.6,,,-,-,,-
2024-02-01,FORD,CABA,Aleta/Ventilete,38450,73248,35,18488,35221,17,1.91,0.050001365411398435,-0.26538461538461544,-26.54%,5.0%,0.0899658059191133,9.0%
2024-03-01,FORD,CABA,Aleta/Ventilete,42994,73782,42,20337,34901,20,1.72,0.11817945383615092,-0.09947643979057585,-9.95%,11.82%,0.1000108178277801,10.0%
2024-05-01,FORD,CABA,Aleta/Ventilete,45144,68330,40,22168,33554,19,1.51,0.050006977717821144,-0.12209302325581395,-12.21%,5.0%,0.09003294487879243,9.0%
