fecha,marca,zona,cristal,precio,precio_ipc,precio_usd,instalacion,instalacion_ipc,instalacion_usd,ipc,ipc_empalme_ipim,var_precio_prom,var_instal_prom,var_ipc,var_ipc_%,var_precio_prom_%,var_instal_prom_%,tipo_cristal
2024-07-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,80770,38,23719,35327,16,1.48936646,6607,0.02998936412671882,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,72971,45,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
2025-01-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,54231,67866,44,26566,33245,21,1.251424313,7864,0.0,0.0,0.07522216915167435,7.52%,0.0%,0.0%,Cristales laterales y de techo
2025-04-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,55858,64028,44,28957,33192,22,1.146262248,8585,0.030001290774649192,0.09000225852593546,0.09174345979744447,9.17%,3.0%,9.0%,Cristales laterales y de techo
2025-08-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,55858,59796,43,28957,30998,22,1.070498944,9193,0.0,0.0,0.07077382453924819,7.08%,0.0%,0.0%,Cristales laterales y de techo
2025-11-01,KIA-ASIA,CAPITAL FEDERAL,Aleta/Ventilete,59210,59210,40,31853,31853,21,1.0,9841,0.060009309320061544,0.10001036018924614,0.07049894389293976,7.05%,6.0%,10.0%,Cristales laterales y de techo
2023-12-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,38561,107410,39,16962,47246,17,2.785401287,3533,,,,-,-,-,Cristales laterales y de techo
2024-02-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,40490,82572,37,18488,37704,17,2.039326613,4825,0.05002463629055254,0.0899658059191133,0.3658436413394097,36.58%,5.0%,9.0%,Cristales laterales y de techo
2024-03-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,42514,78102,42,20337,37361,20,1.837070643,5357,0.049987651271919065,0.1000108178277801,0.11009700156540236,11.01%,5.0%,10.0%,Cristales laterales y de techo
2024-05-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,44640,72331,39,22168,35919,19,1.620318976,6073,0.050007056499035585,0.09003294487879243,0.13377098612570282,13.38%,5.0%,9.0%,Cristales laterales y de techo
2024-07-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,68480,32,23719,35327,16,1.48936646,6607,0.029995519713261753,0.06996571634788884,0.08792497970558877,8.79%,3.0%,7.0%,Cristales laterales y de techo
2024-10-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,61868,38,26566,35746,22,1.345559164,7313,0.0,0.1200303554112736,0.10687549081586467,10.69%,0.0%,12.0%,Cristales laterales y de techo
2025-01-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,45979,57539,37,26566,33245,21,1.251424313,7864,0.0,0.0,0.07522216915167435,7.52%,0.0%,0.0%,Cristales laterales y de techo
2025-04-01,MERCEDES BENZ,CAPITAL FEDERAL,Aleta/Ventilete,47358,54285,37,28957,33192,22,1.146262248,8585,0.02999195284803924,0.09000225852593546,0.09174345979744447,9.17%,3.0%,9.0%,Cristales laterales y de techo
