nro_siniestro_gw,nro_situacion,id._publico_exposicion,codigo_plan_cobertura,plan_cobertura,nombre_exposicion,cobertura_principal,codigo_tipo_transaccion,usuario_creador,monto_transaccion,fecha_pago,tipo_vehiculo,grupo_tipo_vehiculo_alternativo,marca_vehiculo,modelo_vehiculo,año_mes_fecha_pago,usd_blue,ipc_factor,pago_ipc,pago_usd
4-3430898,1,cc:857318,30,PLAN PRIVILEGIO L2 (EX 30),(2) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MFERES,15500000.0,2026-03-16,AUT/FAM/M.VAN,AUTOS PARTICULARES,CHEVROLET,PRISMA,2026-03-01,1411.1904761904761,1.0,15500000.0,10983.634216298296
4-3430967,1,cc:841864,34,PLAN IGNIS L2 (EX 34),(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,YPIZARRO,7540390.0,2026-02-26,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,POLO,2026-02-01,1441.6,1.033826222,7795452.906106581,5230.570199778025
4-3430967,1,cc:841864,34,PLAN IGNIS L2 (EX 34),(2) Destrucción Total - Incendio Total (Autos particulares),Incendio Total,Payment,GRFERNAN,7540390.0,2026-02-26,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,POLO,2026-02-01,1441.6,1.033826222,7795452.906106581,5230.570199778025
4-3431000,1,cc:862092,0,PLAN SELECTO L2 (EX L200),(3) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,DSECRETI,15920000.0,2026-03-25,P GII +1000Kg,PICK UPS,CHEVROLET,PICK-UP S-10,2026-03-01,1411.1904761904761,1.0,15920000.0,11281.255272481863
4-3431027,1,cc:857591,0,PLAN SELECTO L2 (EX L200),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,FLIBERAT,17300000.0,2026-03-25,JEEP/CAM.FAM,JEEPS,FORD,ECO SPORT,2026-03-01,1411.1904761904761,1.0,17300000.0,12259.153028513583
4-3431056,1,cc:840540,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,MDSALVAT,7528620.0,2026-03-18,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,GOL,2026-03-01,1411.1904761904761,1.0,7528620.0,5334.942466677915
4-3431056,1,cc:840540,0,PLAN SELECTO L2 (EX L200),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,MCICCOCI,7528620.0,2026-03-18,AUT/FAM/M.VAN,AUTOS PARTICULARES,VOLKSWAGEN,GOL,2026-03-01,1411.1904761904761,1.0,7528620.0,5334.942466677915
4-3431069,1,cc:841046,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,CARMARTI,239608.0,2026-03-09,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,C 3,2026-03-01,1411.1904761904761,1.0,239608.0,169.79139530960015
4-3431162,1,cc:841206,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,MCICCOCI,22549000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,DS4 CROSSBACK THP AUT SO CHIC,2026-02-01,1441.6,1.033826222,23311747.479878,15641.648168701444
4-3431162,1,cc:841206,30,PLAN PRIVILEGIO L2 (EX 30),(1) Destrucción Total - Accidente Total (Autos particulares),Destrucción Total,Payment,VABENITE,22549000.0,2026-02-24,AUT/FAM/M.VAN,AUTOS PARTICULARES,CITROEN,DS4 CROSSBACK THP AUT SO CHIC,2026-02-01,1441.6,1.033826222,23311747.479878,15641.648168701444
4-3431212,1,cc:841247,30,PLAN PRIVILEGIO L2 (EX 30),(1) Robo Total - Robo y Hurto Total (Autos particulares),Robo Total,Payment,EAGOSTIN,10598000.0,2026-03-10,AUT/FAM/M.VAN,AUTOS PARTICULARES,PEUGEOT,207,2026-03-01,1411.1904761904761,1.0,10598000.0,7509.971317698667
