fecha,marca,zona,tipo_cristal,precio_usd,instalacion_usd
2024-03-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,41.9,22.2
2024-03-01,FORD,CORD_TUC_STAFE,Luneta,116.9,35.3
2024-03-01,FORD,CORD_TUC_STAFE,Parabrisas,198.9,50.5
2024-03-01,FORD,CORD_TUC_STAFE,Puerta,53.0,15.9
2024-03-01,FORD,Rosario,Aleta/Ventilete,38.0,22.2
2024-03-01,FORD,Rosario,Custodia/Coleta,39.4,22.2
2024-03-01,FORD,Rosario,Luneta,109.8,35.3
2024-03-01,FORD,Rosario,Parabrisas,186.8,50.5
2024-03-01,FORD,Rosario,Puerta,49.8,15.9
2024-03-01,FORD,TIERRA DEL FUEGO,Aleta/Ventilete,73.6,39.8
2024-03-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,76.2,39.8
2024-03-01,FORD,TIERRA DEL FUEGO,Luneta,212.5,63.3
2024-03-01,FORD,TIERRA DEL FUEGO,Parabrisas,361.6,90.6
2024-03-01,FORD,TIERRA DEL FUEGO,Puerta,96.3,28.5
2024-03-01,PEUGEOT,CABA,Aleta/Ventilete,121.9,20.3
2024-03-01,PEUGEOT,CABA,Custodia/Coleta,70.6,20.3
2024-03-01,PEUGEOT,CABA,Luneta,136.1,33.2
2024-03-01,PEUGEOT,CABA,Parabrisas,223.5,46.1
2024-03-01,PEUGEOT,CABA,Puerta,48.0,14.5
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Aleta/Ventilete,121.3,22.2
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,66.6,22.2
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Luneta,128.3,36.2
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Parabrisas,210.8,50.4
2024-03-01,PEUGEOT,CORD_TUC_STAFE,Puerta,45.2,15.9
2024-03-01,PEUGEOT,Rosario,Aleta/Ventilete,120.6,22.2
2024-03-01,PEUGEOT,Rosario,Custodia/Coleta,62.5,22.2
2024-03-01,PEUGEOT,Rosario,Luneta,120.5,36.2
2024-03-01,PEUGEOT,Rosario,Parabrisas,198.0,50.4
2024-03-01,PEUGEOT,Rosario,Puerta,42.5,15.9
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Aleta/Ventilete,130.1,39.8
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,121.0,39.8
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Luneta,233.3,65.0
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Parabrisas,383.2,90.4
2024-03-01,PEUGEOT,TIERRA DEL FUEGO,Puerta,82.2,28.5
