año,año_mes,cant_ocompra,cant_piezas_total,cant_piezas_prom,costo_pieza_prom_hist,var_costo_prom,monto_total_compras,ipc,monto_ipc,costo_prom_ipc,var_costo_prom_ipc,usd_blue,monto_usd,costo_prom_usd,var_costo_prom_usd,tipo_repuesto
2024,2024-04-01,802,802,1.0,425791,"-2,04%",341484643,1.547790994,528546856,659035,"-9,99%",1004,339870,423,"-2,35%",Paragolpe Del
2024,2024-05-01,857,857,1.0,418350,"-1,75%",358526111,1.485741555,532677142,621560,"-5,69%",1119,320231,373,"-11,83%",Paragolpe Del
2024,2024-06-01,633,633,1.0,450547,"7,70%",285196429,1.420714517,405182708,640099,"2,98%",1278,223051,352,"-5,70%",Paragolpe Del
2024,2024-07-01,917,918,1.0,434599,"-3,54%",398962676,1.365665449,544849542,593518,"-7,28%",1416,281748,306,"-12,90%",Paragolpe Del
2024,2024-08-01,883,883,1.0,434955,"0,08%",384066108,1.31096827,503498481,570213,"-3,93%",1340,286470,324,"5,71%",Paragolpe Del
2024,2024-09-01,782,783,1.0,435628,"0,15%",341097411,1.267012954,432174839,551947,"-3,20%",1243,274355,350,"8,00%",Paragolpe Del
2024,2024-10-01,831,831,1.0,448372,"2,93%",372597886,1.23380223,459712103,553203,"0,23%",1201,310239,373,"6,55%",Paragolpe Del
2024,2024-11-01,708,708,1.0,457291,"1,99%",323762656,1.2045726,389995625,550841,"-0,43%",1124,288032,406,"8,97%",Paragolpe Del
2024,2024-12-01,598,598,1.0,456651,"-0,14%",273077483,1.172857318,320280925,535586,"-2,77%",1105,247084,413,"1,56%",Paragolpe Del
2025,2025-01-01,770,770,1.0,472573,"3,49%",363881971,1.147485855,417549415,542271,"1,25%",1216,299051,388,"-6,00%",Paragolpe Del
2025,2025-02-01,713,713,1.0,431989,"-8,59%",308008163,1.120573846,345145892,484075,"-10,73%",1212,253979,356,"-8,28%",Paragolpe Del
2025,2025-03-01,632,632,1.0,449707,"4,10%",284214848,1.080286346,307033419,485812,"0,36%",1251,227051,359,"0,85%",Paragolpe Del
2025,2025-04-01,682,682,1.0,467682,"4,00%",318959163,1.051058144,335244626,491561,"1,18%",1263,252363,370,"3,00%",Paragolpe Del
2025,2025-05-01,747,747,1.0,457421,"-2,19%",341694094,1.035513955,353829002,473666,"-3,64%",1162,294020,393,"6,37%",Paragolpe Del
2025,2025-06-01,696,696,1.0,459160,"0,38%",319575901,1.019016838,325653224,467892,"-1,22%",1181,270404,388,"-1,29%",Paragolpe Del
2025,2025-07-01,914,914,1.0,455287,"-0,84%",416132816,1.039906945643565,432739405,473456,"-4,00%",1282,324412,354,"-9,87%",Paragolpe Del
2025,2025-08-01,771,771,1.0,485310,"6,59%",374174622,1.0207596032395136,381942339,495385,"4,63%",1329,281535,365,"2,88%",Paragolpe Del
2025,2025-09-01,776,776,1.0,508378,"4,75%",394501653,1.0,394501653,508378,"2,62%",1406,280414,361,"-1,04%",Paragolpe Del
2023,2023-01-01,477,478,1.0,92387,-,44161296,7.501355385,331269577,693032,-,366,120599,252,-,Paragolpe Tras
2023,2023-02-01,365,365,1.0,99236,"7,41%",36221465,7.03508925,254821240,698140,"0,74%",375,96348,263,"4,63%",Paragolpe Tras
2023,2023-03-01,610,610,1.0,122248,"23,19%",74571624,6.533618369,487222536,798725,"14,41%",380,196140,321,"21,81%",Paragolpe Tras
2023,2023-04-01,543,543,1.0,114402,"-6,42%",62120355,6.027173658,374410168,689521,"-13,67%",419,147978,272,"-15,25%",Paragolpe Tras
2023,2023-05-01,494,494,1.0,130138,"13,76%",64288377,5.592483714,359531705,727796,"5,55%",477,134571,272,"-0,04%",Paragolpe Tras
2023,2023-06-01,494,494,1.0,130875,"0,57%",64652525,5.278376403,341260363,690810,"-5,08%",487,132502,268,"-1,54%",Paragolpe Tras
2023,2023-07-01,532,532,1.0,141279,"7,95%",75160940,4.96345273,373057773,701236,"1,51%",516,145499,273,"1,97%",Paragolpe Tras
2023,2023-08-01,554,554,1.0,168689,"19,40%",93453840,4.414247987,412528427,744636,"6,19%",646,144455,260,"-4,66%",Paragolpe Tras
2023,2023-09-01,552,552,1.0,190710,"13,05%",105272069,3.915084496,412149048,746646,"0,27%",733,143446,259,"-0,34%",Paragolpe Tras
2023,2023-10-01,470,470,1.0,216870,"13,72%",101929326,3.61497841,368472315,783983,"5,00%",912,111670,237,"-8,57%",Paragolpe Tras
2023,2023-11-01,553,553,1.0,271666,"25,27%",150231368,3.204464403,481411071,870544,"11,04%",931,161235,291,"22,71%",Paragolpe Tras
2023,2023-12-01,424,424,1.0,339473,"24,96%",143936924,2.55405664,367623057,867035,"-0,40%",965,149076,351,"20,59%",Paragolpe Tras
2024,2024-01-01,511,511,1.0,393599,"15,94%",201129288,2.117541803,425899676,833463,"-3,87%",1141,176151,344,"-1,96%",Paragolpe Tras
2024,2024-02-01,488,488,1.0,434545,"10,40%",212058095,1.86994804,396537619,812577,"-2,51%",1081,196104,401,"16,57%",Paragolpe Tras
2024,2024-03-01,430,430,1.0,441500,"1,60%",189845069,1.684490668,319792248,743702,"-8,48%",1001,189541,440,"9,69%",Paragolpe Tras
2024,2024-04-01,453,453,1.0,449677,"1,85%",203704069,1.547790994,315291323,696007,"-6,41%",1004,202741,447,"1,53%",Paragolpe Tras
2024,2024-05-01,540,540,1.0,457407,"1,72%",247000103,1.485741555,366978317,679589,"-2,36%",1119,220617,408,"-8,71%",Paragolpe Tras
2024,2024-06-01,353,353,1.0,467162,"2,13%",164908522,1.420714517,234287931,663705,"-2,34%",1278,128974,365,"-10,57%",Paragolpe Tras
2024,2024-07-01,494,494,1.0,456128,"-2,36%",225327292,1.365665449,307721698,622918,"-6,15%",1416,159126,322,"-11,84%",Paragolpe Tras
2024,2024-08-01,467,467,1.0,467780,"2,55%",218453329,1.31096827,286385383,613244,"-1,55%",1340,162941,348,"8,32%",Paragolpe Tras
2024,2024-09-01,394,394,1.0,445792,"-4,70%",175642268,1.267012954,222541029,564824,"-7,90%",1243,141274,358,"2,77%",Paragolpe Tras
2024,2024-10-01,461,461,1.0,468935,"5,19%",216179490,1.23380223,266722737,578574,"2,43%",1201,179999,390,"8,89%",Paragolpe Tras
2024,2024-11-01,452,452,1.0,491503,"4,81%",222159680,1.2045726,267607464,592051,"2,33%",1124,197642,437,"11,99%",Paragolpe Tras
2024,2024-12-01,416,416,1.0,535660,"8,98%",222834728,1.172857318,261353342,628253,"6,11%",1105,201623,484,"10,84%",Paragolpe Tras
2025,2025-01-01,399,399,1.0,507558,"-5,25%",202515914,1.147485855,232384147,582416,"-7,30%",1216,166435,417,"-13,94%",Paragolpe Tras
2025,2025-02-01,387,387,1.0,501816,"-1,13%",194203152,1.120573846,217618973,562322,"-3,45%",1212,160137,413,"-0,80%",Paragolpe Tras
2025,2025-03-01,422,422,1.0,508310,"1,29%",214507009,1.080286346,231728993,549120,"-2,35%",1251,171363,406,"-1,86%",Paragolpe Tras
2025,2025-04-01,421,421,1.0,502653,"-1,11%",211617301,1.051058144,222422087,528318,"-3,79%",1263,167433,397,"-2,06%",Paragolpe Tras
2025,2025-05-01,451,451,1.0,497049,"-1,11%",224169405,1.035513955,232130547,514701,"-2,58%",1162,192893,427,"7,54%",Paragolpe Tras
2025,2025-06-01,425,425,1.0,499033,"0,40%",212089033,1.019016838,216122296,508523,"-1,20%",1181,179456,422,"-1,27%",Paragolpe Tras
2025,2025-07-01,467,467,1.0,492095,"-1,39%",229808762,1.039906945643565,238979727,511733,"-5,09%",1282,179156,383,"-10,89%",Paragolpe Tras
2025,2025-08-01,444,444,1.0,493296,"0,24%",219023479,1.0207596032395136,223570320,503536,"-1,60%",1329,164797,371,"-3,25%",Paragolpe Tras
2025,2025-09-01,449,449,1.0,535730,"8,60%",240542909,1.0,240542909,535730,"6,39%",1406,170979,380,"2,60%",Paragolpe Tras
